taxon_id	scientific_name	_COMMON_NAME_	_ABBREV_	_GENOME_ACCESSION_	_GENOME_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ANNOTATION_PROVIDER_NAME_	_ANNOTATION_SOURCE_	_ANNOTATION_SOURCE_SFX_	_LOAD_GFF3_ANALYSIS_NAME_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_
82378	Amphiura filiformis		afilif	GCF_039555335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/555/335/GCF_039555335.1_Afil_fr2py	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Amphiura_filiformis/GCF_039555335.1-RS_2025_03.html	GCF_039555335.1-RS_2025_03	University College London	NCBI RefSeq	refseq	rs	refseq_import_visible		
307972	Apostichopus japonicus	Japanese sea cucumber	ajapon	GCF_037975245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/975/245/GCF_037975245.1_ASM3797524v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Apostichopus_japonicus/GCF_037975245.1-RS_2025_03.html	GCF_037975245.1-RS_2025_03	Institute of Oceanology, Chinese Academy of Sciences	NCBI RefSeq	refseq	rs	refseq_import_visible		
145626	Bradybaena similaris		bsimil	GCA_050415755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/415/755/GCA_050415755.1_Bsimiralis_1.0	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_050415755.1		Center for Northeast Asian Studies, Tohoku University	Center for Northeast Asian Studies, Tohoku University	genbank	gb	gff3_genes		
31175	Diadema setosum		dsetos	GCF_964275005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/275/005/GCF_964275005.1_eeDiaSeto1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Diadema_setosum/GCF_964275005.1-RS_2025_03.html	GCF_964275005.1-RS_2025_03	Genoscope CEA	NCBI RefSeq	refseq	rs	refseq_import_visible		
206669	Holothuria leucospilota		hleuco	GCA_029531755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/531/755/GCA_029531755.1_CAS_HOLleu_V1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_029531755.1		Chinese Academy of Sciences	Chinese Academy of Sciences	genbank	gb	gff3_genes		
2302425	Mactra antiquata		mantiq	GCA_047288015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/288/015/GCA_047288015.1_OUC_Can_1.0	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_047288015.1		Ocean University of China	Ocean University of China	genbank	gb	gff3_genes		
1069815	Sinanodonta woodiana		swoodi	GCA_046254885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/254/885/GCA_046254885.1_ASM4625488v1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046254885.1		Chinese Academy of Fishery Sciences	Chinese Academy of Fishery Sciences	genbank	gb	gff3_genes		
6941	Rhipicephalus microplus	Southern cattle tick	rmicro	GCF_043290135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/290/135/GCF_043290135.1_USDA_Rmic	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Rhipicephalus_microplus/GCF_043290135.1-RS_2025_08.html	GCF_043290135.1-RS_2025_08	USDA	NCBI RefSeq	refseq	rs	refseq_import_visible		
6943	Amblyomma americanum	Lone star tick	aameri	GCF_052857255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/857/255/GCF_052857255.1_ASM5285725v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Amblyomma_americanum/GCF_052857255.1-RS_2025_11.html	GCF_052857255.1-RS_2025_11	USDA-Agricultural Research Service, USA	NCBI RefSeq	refseq	rs	refseq_import_visible		
6978	Periplaneta americana	American cockroach	pameri	GCF_040183065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/183/065/GCF_040183065.1_P.americana_PAMFEO1_priV1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Periplaneta_americana/GCF_040183065.1-RS_2024_10.html	GCF_040183065.1-RS_2024_10	University of Georgia	NCBI RefSeq	refseq	rs	refseq_import_visible		
93214	Bacillus rossius redtenbacheri		brossi	GCF_032445375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/445/375/GCF_032445375.1_Brsri_v3	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Bacillus_rossius_redtenbacheri/GCF_032445375.1-RS_2024_02.html	GCF_032445375.1-RS_2024_02	University of Lausanne	NCBI RefSeq	refseq	rs	refseq_import_visible		
121162	Arctopsyche grandis		agrand	GCF_051622035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/622/035/GCF_051622035.1_ASM5162203v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Arctopsyche_grandis/GCF_051622035.1-RS_2025_09.html	GCF_051622035.1-RS_2025_09	Brigham Young University	NCBI RefSeq	refseq	rs	refseq_import_visible		
7602	Asterias amurensis	Northern pacific seastar	aamure	GCF_032118995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/118/995/GCF_032118995.1_ASM3211899v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Asterias_amurensis/GCF_032118995.1-RS_2025_03.html	GCF_032118995.1-RS_2025_03	Ocean University of China	NCBI RefSeq	refseq	rs	refseq_import_visible		
6565	Crassostrea virginica	Eastern oyster	cvirgi	GCF_053477285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/477/285/GCF_053477285.1_ASM5347728v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Crassostrea_virginica/GCF_053477285.1-RS_2025_12.html	GCF_053477285.1-RS_2025_12	Yale University	NCBI RefSeq	refseq	rs	refseq_import_visible		
