taxon_id	scientific_name	_COMMON_NAME_	_ABBREV_	_GENOME_ACCESSION_	_GENOME_FTP_URL_	_ASSEMBLY_PROVIDER_NAME_	_ANNOTATION_GFF3_	_ANNOTATION_PEP_	_REFSEQ_ANN_REPORT_URL_
6210	Echinococcus granulosus		egranu	GCA_021556725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/556/725/GCA_021556725.1_ASM2155672v1	University of Melbourne	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA754835/echinococcus_granulosus.PRJNA754835.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA754835/echinococcus_granulosus.PRJNA754835.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_granulosus/PRJNA754835
320140	Sabatieria punctata		spunct	GCA_030248155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/248/155/GCA_030248155.1_ASM3024815v1	Academia Sinica	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/sabatieria_punctata/PRJNA953805/sabatieria_punctata.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/sabatieria_punctata/PRJNA953805/sabatieria_punctata.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/sabatieria_punctata/PRJNA953805
3043725	Ptycholaimellus sp. GST1_10		psp	GCA_030248095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/248/095/GCA_030248095.1_ASM3024809v1	Academia Sinica	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/ptycholaimellus_gst110/PRJNA953805/ptycholaimellus_gst110.PRJNA953805.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/ptycholaimellus_gst110/PRJNA953805/ptycholaimellus_gst110.PRJNA953805.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/ptycholaimellus_gst110/PRJNA953805
519352	Echinococcus canadensis		ecanad	GCA_900004735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/004/735/GCA_900004735.1_ECANG7	IMPAM-UBA-CONICET	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_canadensis/PRJEB8992/echinococcus_canadensis.PRJEB8992.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_canadensis/PRJEB8992/echinococcus_canadensis.PRJEB8992.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/echinococcus_canadensis/PRJEB8992
6205	Hydatigera taeniaeformis		htaeni	GCA_900622495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/622/495/GCA_900622495.1_H_taeniaeformis_Canary_Islands_0011_upd	WTSI	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hydatigera_taeniaeformis/PRJEB534/hydatigera_taeniaeformis.PRJEB534.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hydatigera_taeniaeformis/PRJEB534/hydatigera_taeniaeformis.PRJEB534.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hydatigera_taeniaeformis/PRJEB534
6216	Hymenolepis diminuta		hdimin	GCA_900618445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/618/445/GCA_900618445.1_H_diminuta_Denmark_0011_upd	WTSI	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB507/hymenolepis_diminuta.PRJEB507.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB507/hymenolepis_diminuta.PRJEB507.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB507
6216	Hymenolepis diminuta		hdimin1	GCA_902177915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/177/915/GCA_902177915.1_H.diminuta_WMSil1	UNIVERSITY OF WARMIA AND MAZURY	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB30942/hymenolepis_diminuta.PRJEB30942.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB30942/hymenolepis_diminuta.PRJEB30942.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/hymenolepis_diminuta/PRJEB30942
53468	Mesocestoides corti		mcorti	GCA_900604375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/604/375/GCA_900604375.1_M_corti_Specht_Voge_0011_upd	WTSI	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesocestoides_corti/PRJEB510/mesocestoides_corti.PRJEB510.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesocestoides_corti/PRJEB510/mesocestoides_corti.PRJEB510.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/mesocestoides_corti/PRJEB510
60517	Taenia asiatica		tasiat	GCA_001693035.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/035/GCA_001693035.2_Taenia_asiatica_TASYD01_v1	Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJNA299871/taenia_asiatica.PRJNA299871.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJNA299871/taenia_asiatica.PRJNA299871.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJNA299871
60517	Taenia asiatica		tasiat1	GCA_900618005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/618/005/GCA_900618005.1_T_asiatica_South_Korea_0011_upd	WTSI	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJEB532/taenia_asiatica.PRJEB532.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJEB532/taenia_asiatica.PRJEB532.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_asiatica/PRJEB532
94034	Taenia multiceps		tmulti	GCA_001923025.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/923/025/GCA_001923025.3_ASM192302v3	Agricultural Genomics Institute at Shenzhen Chinese Academy of Agricultural Sciences	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_multiceps/PRJNA307624/taenia_multiceps.PRJNA307624.WBPS19.annotations.gff3.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_multiceps/PRJNA307624/taenia_multiceps.PRJNA307624.WBPS19.protein.fa.gz	https://ftp.ebi.ac.uk/pub/databases/wormbase/parasite/releases/WBPS19/species/taenia_multiceps/PRJNA307624
